Pais,Ano,ENTR,TUTT,EMPE,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
ISL,2017,-0.7568094989658464,-0.06344208579374022,-0.6457530708749725,0,0,1,2.336580714695914,-0.28259326994605805
ISL,2018,-0.7565530467997786,-0.016438123875903453,-0.6462036974925598,0,0,1,2.837845766259096,-0.33788691405970517
ISL,2019,-0.7554132593950329,0.06215807422532143,-0.6426876972170643,0,0,1,3.0969599435396717,-0.1163845720781669
ISL,2020,-0.7534471261218465,0.087651875427512,-0.6420924250185231,0,0,1,3.234707234468297,-0.195629545677675
ISL,2021,-0.7494293755201177,0.1341494241536574,-0.6410576527855452,0,0,1,3.4782351177858533,-0.3461980926026277
ISL,2022,-0.74917292335405,0.20918029482636535,-0.6380089690023624,0,0,1,3.6601378716789625,-0.14591597864676217
ITA,2010,1.4998840783753662,-0.23666256697929203,0.8432341027563043,0,0,0,-0.32423519940450807,-0.5574970676173756
ITA,2011,1.4413275004565538,-0.2257824732702846,0.8305108549239341,0,0,0,-0.32239323836953837,-0.5245709041764125
ITA,2012,1.4424672878612994,-0.2247694980877271,0.9053927595254658,0,0,0,-0.32314289449055145,-0.43074407055363273
ITA,2013,1.4255129502157067,-0.22569669330153203,0.9362968442254294,0,0,0,-0.323627922416963,-0.3760502227550077
ITA,2014,1.4648356156794347,-0.22189759685826743,0.9403302306174138,0,0,0,-0.3231201045157161,-0.4067493343269458
ITA,2015,1.5085179679663152,-0.2163154812360489,1.0004582859616453,0,0,0,-0.3229935109095371,-0.37119739899523346
ITA,2016,1.56681809371906,-0.2100982025583422,1.112820085904969,0,0,0,-0.3233330582004608,-0.2872940354838269
ITA,2017,1.5899272833502798,-0.2058484788362483,1.1586393553179124,0,0,0,-0.3232401108486747,-0.2536528936067527
ITA,2018,1.6937334212374981,-0.2030358327448566,1.1851985092976831,0,0,0,-0.32314426771310534,-0.3142352150483907
ITA,2019,1.6792296265121087,-0.2011032676396524,1.2213042716204128,0,0,0,-0.32325231902553464,-0.2605046355089338
ITA,2020,1.758986250159192,-0.19644187446713346,1.3248649442918476,0,0,0,-0.3236439977251476,-0.21344882471132706
ITA,2021,1.880402103449732,-0.17976888283813172,1.428364420755956,0,0,0,-0.32265667586432956,-0.20452374836197712
ITA,2022,1.9875421194958318,-0.16456776855796185,1.555368804125077,0,0,0,-0.32212367198406766,-0.16099837056184416
LTU,2010,-0.7542734719902872,-0.3461798849845311,-0.6175583091721075,0,0,0,-0.3366465247979681,1.823408859142
LTU,2011,-0.7511390566272363,-0.345937503324142,-0.6102203275844834,0,0,0,-0.33627656995130945,2.01660646301299
LTU,2012,-0.736293325680423,-0.3458144783105425,-0.6031549472840416,0,0,0,-0.33637974054631825,1.1526365732562291
LTU,2013,-0.7225873821383555,-0.34560341718653514,-0.5941479782238723,0,0,0,-0.3363174557194703,0.8001059492426829
LTU,2014,-0.6883937599959833,-0.345331125632636,-0.5848906610428211,0,0,0,-0.33611579099598404,-0.032005539237270834
LTU,2015,-0.6649711288284582,-0.34484805531149704,-0.5725512803291363,0,0,0,-0.33561927347355935,-0.20224819252338846
LTU,2016,-0.6535162654107636,-0.34460059449073266,-0.5619865896279246,0,0,0,-0.3356420707547767,-0.1700383012402121
LTU,2017,-0.6410355933287977,-0.34411978138763183,-0.5558780954784088,0,0,0,-0.33496387720347853,-0.24340409281890454
LTU,2018,-0.6229129735933404,-0.34349308774350995,-0.54762773407246,0,0,0,-0.33419812057979204,-0.34087378149562214
LTU,2019,-0.6004306670347306,-0.3425876128175887,-0.5389935055478258,0,0,0,-0.333055382361368,-0.45974816376558497
LTU,2020,-0.577378466773748,-0.3415083226305581,-0.5282674793909347,0,0,0,-0.3319038850611062,-0.5305274529595847
LTU,2021,-0.5466611962158503,-0.339897739823138,-0.50653169920682,0,0,0,-0.3308551275858244,-0.5173599923176474
LTU,2022,-0.5148896223085627,-0.33735798005179163,-0.47808102609149794,0,0,0,-0.3293152999322756,-0.4454274420948912
LUX,2010,-0.7504266894992703,-0.34158027534126734,-0.6241118666476353,1,1,0,-0.31280252337773773,0.9316307164079111
LUX,2011,-0.7488024924475075,-0.34158027534126734,-0.6241118666476353,0,0,0,-0.31280252337773773,0.7977074468904346
LUX,2012,-0.7468933485445585,-0.3377018856002228,-0.6221535880131822,0,0,0,-0.2952002576984259,0.7831421405086012
LUX,2013,-0.7436449544410331,-0.34160962094103164,-0.6244567907252947,0,0,0,-0.31273807024758293,0.4140630891553999
LUX,2014,-0.7415363477422534,-0.34157152835227367,-0.6230770944146572,0,0,0,-0.31338118057648773,0.3705127241876631
LUX,2015,-0.7374331130851688,-0.34109805178904373,-0.6225096386739918,0,0,0,-0.31140452314391753,0.18101296983186013
LUX,2016,-0.7359228947738806,-0.3406463016275525,-0.6194108852666328,0,0,0,-0.3111501624090394,0.2709213642911401
LUX,2017,-0.7327599847257112,-0.33977581543260166,-0.6143761063911212,0,0,0,-0.3102279703909597,0.37128369375278303
LUX,2018,-0.7297680427882537,-0.339757474556533,-0.6107488402841227,0,0,0,-0.3120426682352632,0.40275307252195897
LUX,2019,-0.7246389994668978,-0.3393356344069539,-0.6072328400086273,0,0,0,-0.3121095664645883,0.33226927512923515
LUX,2020,-0.7249239463180842,-0.3393356344069539,-0.6072328400086273,1,1,0,-0.3121095664645883,0.34443565545934074
